LID,TID,clone,replicate,tracking.id,cell.line
1,1,A,1,6104,A1
1,2,A,1,63,A1
1,3,A,1,1392,A1
1,4,A,1,2540,A1
1,5,A,1,2540,A1
1,7,A,1,1073,A1
1,8,A,1,1260,A1
1,9,A,1,1230,A1
1,10,A,1,3219,A1
1,11,A,1,1392,A1
1,12,A,1,1271,A1
2,1,A,1,678,A1
2,2,A,1,1230,A1
2,3,A,1,895,A1
2,4,A,1,1073,A1
2,5,A,1,1230,A1
2,6,A,1,2086,A1
2,7,A,1,1870,A1
2,8,A,1,1161,A1
2,9,A,1,4286,A1
2,11,A,1,4922,A1
2,12,A,1,3331,A1
3,1,A,1,845,A1
3,2,A,1,1230,A1
3,3,A,1,1101,A1
3,4,A,1,525,A1
3,5,A,1,2078,A1
3,6,A,1,4286,A1
3,7,A,1,2540,A1
3,8,A,1,1538,A1
3,9,A,1,1495,A1
4,1,A,1,932,A1
4,2,A,1,81,A1
4,3,A,1,2957,A1
4,4,A,1,1230,A1
4,5,A,1,1230,A1
4,6,A,1,2086,A1
4,7,A,1,1230,A1
4,8,A,1,766,A1
4,9,A,1,1870,A1
4,10,A,1,1230,A1
4,11,A,1,1230,A1
4,12,A,1,5637,A1
4,13,A,1,419,A1
4,14,A,1,1230,A1
4,15,A,1,1230,A1
4,16,A,1,4363,A1
4,17,A,1,4540,A1
4,18,A,1,1230,A1
4,19,A,1,1870,A1
4,20,A,1,4129,A1
4,21,A,1,44,A1
4,22,A,1,2310,A1
4,23,A,1,4493,A1
5,1,A,1,1043,A1
5,2,A,1,24,A1
5,3,A,1,1073,A1
5,4,A,1,24,A1
5,5,A,1,1392,A1
5,6,A,1,560,A1
5,7,A,1,1711,A1
6,1,A,1,1941,A1
6,2,A,1,1230,A1
6,3,A,1,1392,A1
6,4,A,1,4286,A1
6,5,A,1,1590,A1
6,6,A,1,895,A1
6,7,A,1,1271,A1
7,1,A,1,4914,A1
7,2,A,1,63,A1
7,3,A,1,2540,A1
7,4,A,1,2086,A1
7,5,A,1,1392,A1
7,6,A,1,1230,A1
7,7,A,1,2540,A1
8,1,A,1,1073,A1
8,2,A,1,2785,A1
8,3,A,1,55,A1
8,4,A,1,677,A1
8,5,A,1,2540,A1
8,6,A,1,525,A1
8,7,A,1,2086,A1
8,8,A,1,1298,A1
8,9,A,1,5912,A1
9,1,A,1,4286,A1
9,2,A,1,1230,A1
9,3,A,1,1230,A1
9,4,A,1,1870,A1
9,5,A,1,1230,A1
9,6,A,1,560,A1
9,7,A,1,1144,A1
10,1,A,1,3183,A1
10,2,A,1,2774,A1
10,3,A,1,63,A1
10,4,A,1,2688,A1
10,5,A,1,1230,A1
10,6,A,1,1212,A1
10,7,A,1,710,A1
1,1,B,2,2720,B2
1,2,B,2,2540,B2
1,3,B,2,2784,B2
1,4,B,2,1202,B2
1,5,B,2,63,B2
1,6,B,2,1202,B2
1,7,B,2,4537,B2
1,8,B,2,1357,B2
1,9,B,2,6337,B2
2,1,B,2,5326,B2
2,2,B,2,3602,B2
2,3,B,2,731,B2
2,4,B,2,63,B2
2,5,B,2,2785,B2
2,6,B,2,2724,B2
2,7,B,2,384,B2
2,8,B,2,22,B2
2,9,B,2,33,B2
2,10,B,2,3032,B2
2,11,B,2,4128,B2
2,12,B,2,1112,B2
2,13,B,2,1003,B2
2,14,B,2,3916,B2
2,15,B,2,457,B2
3,1,B,2,1870,B2
3,2,B,2,3710,B2
3,3,B,2,3219,B2
3,4,B,2,5305,B2
3,5,B,2,633,B2
3,6,B,2,3033,B2
3,7,B,2,1760,B2
4,1,B,2,457,B2
4,2,B,2,3685,B2
4,3,B,2,3891,B2
4,4,B,2,63,B2
4,5,B,2,4114,B2
4,6,B,2,459,B2
4,7,B,2,1423,B2
4,8,B,2,5593,B2
4,9,B,2,913,B2
4,10,B,2,8,B2
4,11,B,2,769,B2
4,12,B,2,3710,B2
4,13,B,2,2829,B2
4,14,B,2,7,B2
4,15,B,2,220,B2
4,16,B,2,2755,B2
4,17,B,2,3307,B2
4,18,B,2,1580,B2
4,19,B,2,6022,B2
5,1,B,2,2784,B2
5,2,B,2,1445,B2
5,3,B,2,895,B2
5,4,B,2,1533,B2
5,5,B,2,1774,B2
5,6,B,2,2606,B2
5,7,B,2,6496,B2
6,1,B,2,5,B2
6,2,B,2,2500,B2
6,3,B,2,241,B2
6,4,B,2,241,B2
6,5,B,2,2972,B2
6,6,B,2,1705,B2
6,7,B,2,3183,B2
6,8,B,2,1073,B2
6,9,B,2,1073,B2
6,10,B,2,87,B2
6,11,B,2,3178,B2
6,12,B,2,122,B2
6,13,B,2,3273,B2
6,14,B,2,63,B2
6,15,B,2,915,B2
6,16,B,2,1534,B2
6,17,B,2,6556,B2
6,18,B,2,124,B2
6,19,B,2,3051,B2
6,20,B,2,2891,B2
6,21,B,2,5289,B2
7,1,B,2,1853,B2
7,2,B,2,81,B2
7,3,B,2,3680,B2
7,4,B,2,1230,B2
7,5,B,2,1392,B2
7,6,B,2,3563,B2
7,7,B,2,1230,B2
8,1,B,2,1705,B2
8,2,B,2,459,B2
8,3,B,2,1091,B2
8,4,B,2,1711,B2
8,5,B,2,1073,B2
8,6,B,2,63,B2
8,7,B,2,24,B2
9,1,B,2,2666,B2
9,2,B,2,1202,B2
9,3,B,2,3563,B2
9,4,B,2,1271,B2
9,5,B,2,1101,B2
9,6,B,2,3563,B2
9,7,B,2,81,B2
9,8,B,2,65,B2
9,9,B,2,4389,B2
9,10,B,2,5629,B2
9,11,B,2,3961,B2
